scope_id,project,stickiness,magnetism,quadrant,median_stickiness,median_magnetism,highlighted
1,akka/akka,0.4230769230769231,0.005648877657202319,stagnant,0.1927710843373494,0.007284079084287201,False
5,facebook/hiphop-php,0.16666666666666666,0.00787869778504534,floating,0.1927710843373494,0.007284079084287201,False
9,mongodb/mongo,0.2736842105263158,0.011446409989594173,attractive,0.1927710843373494,0.007284079084287201,False
10,TTimo/doom3.gpl,0.07692307692307693,0.0019325107774639512,terminal,0.1927710843373494,0.007284079084287201,False
11,ariya/phantomjs,0.14516129032258066,0.008324661810613945,floating,0.1927710843373494,0.007284079084287201,False
12,TrinityCore/TrinityCore,0.33760683760683763,0.030325553738665082,attractive,0.1927710843373494,0.007284079084287201,False
289,mangos/MaNGOS,0.2204724409448819,0.009811208562509291,attractive,0.1927710843373494,0.007284079084287201,False
454,bitcoin/bitcoin,0.22727272727272727,0.01575739557009068,attractive,0.1927710843373494,0.007284079084287201,False
3583,xbmc/xbmc,0.46994535519125685,0.026163222833358108,attractive,0.1927710843373494,0.007284079084287201,False
3750,joyent/http-parser,0.21052631578947367,0.0017838561022744165,stagnant,0.1927710843373494,0.007284079084287201,False
7242,antirez/redis,0.09375,0.007135424409097666,terminal,0.1927710843373494,0.007284079084287201,False
8955,memcached/memcached,0.25,0.001486546751895347,stagnant,0.1927710843373494,0.007284079084287201,False
9215,openframeworks/openFrameworks,0.36507936507936506,0.007432733759476735,attractive,0.1927710843373494,0.007284079084287201,False
9636,libgit2/libgit2,0.14102564102564102,0.010554481938456964,floating,0.1927710843373494,0.007284079084287201,False
10380,vmg/redcarpet,0.18181818181818182,0.002081165452653486,terminal,0.1927710843373494,0.007284079084287201,False
10593,joyent/libuv,0.34545454545454546,0.006094841682770923,stagnant,0.1927710843373494,0.007284079084287201,False
10629,SignalR/SignalR,0.23529411764705882,0.002378474803032555,stagnant,0.1927710843373494,0.007284079084287201,False
12554,hbons/SparkleShare,0.06451612903225806,0.011892374015162776,floating,0.1927710843373494,0.007284079084287201,False
12976,moxiecode/plupload,0.08163265306122448,0.006540805708339527,terminal,0.1927710843373494,0.007284079084287201,False
13566,mono/mono,0.3805309734513274,0.011743719339973242,attractive,0.1927710843373494,0.007284079084287201,False
14327,NancyFx/Nancy,0.18421052631578946,0.009365244536940686,floating,0.1927710843373494,0.007284079084287201,False
14328,ServiceStack/ServiceStack,0.21052631578947367,0.00252712947822209,stagnant,0.1927710843373494,0.007284079084287201,False
14912,AutoMapper/AutoMapper,0.08,0.0034190575293592982,terminal,0.1927710843373494,0.007284079084287201,False
15018,restsharp/RestSharp,0.2,0.006392151033149993,stagnant,0.1927710843373494,0.007284079084287201,False
15974,ravendb/ravendb,0.34285714285714286,0.00475694960606511,stagnant,0.1927710843373494,0.007284079084287201,False
16134,SamSaffron/MiniProfiler,0.25,0.0016352014270848818,stagnant,0.1927710843373494,0.007284079084287201,False
16402,nathanmarz/storm,0.2,0.002081165452653486,stagnant,0.1927710843373494,0.007284079084287201,False
17515,elasticsearch/elasticsearch,0.171875,0.008027352460234874,floating,0.1927710843373494,0.007284079084287201,False
