type,projects,pairs,non_coding_cohort,non_coding_baseline,moved_cohort,moved_baseline,coding_cohort,coding_baseline,all_cohort,all_baseline
A,8,71,1.0,0.5714285714285714,0.26446280991735527,0.3076923076923077,0.24999999999999994,0.9666666666666667,0.3333333333333333,0.5
B,19,170,0.5803627267041903,0.5,0.5,0.5,0.5793650793650793,0.5,0.5,0.5046391752577319
C,5,56,0.5492063492063491,1.0,0.5,0.75,0.51875,0.55,0.2857142857142857,0.5
D,2,38,0.4280303030303029,0.2857142857142857,0.3333333333333333,0.5,0.6153846153846154,0.875,0.2980071858288771,0.3571428571428571
All types,34,335,0.5803627267041903,0.5,0.44109803921568635,0.5,0.5,0.6153846153846154,0.38940520446096655,0.5
