type,projects,pairs,non_coding,moved,coding,all
A,8,71,0.0013775818426146605,0.7508639985954604,0.0003136866528979725,0.172193827762521
B,19,170,0.1253017302323061,0.6105800026994688,0.23308614328290955,0.26299620327929507
C,5,56,0.021649493940247854,0.010532444576261022,0.7513417896382737,0.08349349155761218
D,2,38,0.7938390455415016,0.09180112274187244,0.1098939036063024,0.22170515879619812
All types,34,335,0.1145138576175727,0.033333995661224934,0.034495516826209924,0.012431337648915564
